Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
31-May-12,Mount Sinai Hospital,Miami Beach,Florida,INSD,MED,340,"Eleven computer screen printouts of personal information and seven credit cards of Mount Sinai patients were found in a vehicle that was searched after a motorist was stopped for reckless driving.  An employee of Mount Sinai was linked to patient personal information that was found during the traffic stop. She was arrested and accused of accessing and printing the names, Social Security numbers, and dates of birth of 340 patients for identity theft purposes.",PHIPrivacy.net,,2012,25.790654,-80.130046
30-Oct-13,"Emerald Garden, Tampa General Hospital",Clearwater,Florida,INSD,MED,0,An investigation uncovered sensitive information from Emerald Garden and Tampa General Hospital patients.  A dishonest Emerald Garden employee was arrested in May and sentenced to 37 months in prison for conspiring to misuse the information to file tax refunds.  A contact at Tampa General Hospital also supplied patient information.  ,PHIPrivacy.net,,2013,27.965853,-82.800103
18-Oct-13,Broward Health Medical Center,Fort Lauderdale,Florida,INSD,MED,960,"Federal and local officials discovered a breach that involved the records of 960 patients treated at Broward Health between October of 2012 and December of 2012.  The patients were treated at 1600 S. Andrews Ave. Their names, addresses, dates of birth, insurance policy numbers, and reasons for visits were exposed when an employee took patient documents out of the medical facility.  The last four digits of patients' Social Security numbers are recorded at Broward Health for insurance purposes and were also exposed. ",Media,,2013,26.122439,-80.137317
25-Oct-13,Mount Sinai Medical Center,Miami Beach,Florida,INSD,MED,0,"An employee who was working at Mt. Sinani Medical Center through a temp agency was found with patient information during a traffic stop.  Police uncovered a bag that contained over 100 printouts with patient names, Social Security numbers, addresses, and dates of birth.  Photocopies of checks that had been written to Mt. Sinai Medical Center and corresponding billing statements were also found during the February 27, 2013 traffic stop.  Additional information that could be used for fraud was also found at the temporary employee's residence.The dishonest employee was convicted for involvement in the identity theft and tax refund scheme. It was later discovered that the temp agency gave Mt. Sinai Medical Center false background information about the temporary employee.  Mt. Sinai Medical Center no longer does business with the staffing agency.",PHIPrivacy.net,,2013,25.790654,-80.130046
15-Nov-13,Rose Medical Center,Denver,Colorado,PHYS,MED,606,Patient records were improperly disposed of sometime between June 28 of 2013 and July 16 of 2013.,HHS via PHIPrivacy.net,,2013,39.739236,-104.990251
11-Nov-13,North Country Hospital and Health Center,Newport,Vermont,INSD,MED,550,A former employee refused to return a laptop that contained unspecified patient health information.  North County Hospital first learned of the issue on September 18.  The Newport Police Department was contacted and all administrator-level computer system user codes and passwords that the employee had access to were changed.  The laptop was also password-protected and will be remotely locked out if someone attempts to use it to access the Hospital systems.,HHS via PHIPrivacy.net,,2013,44.936436,-72.205102
8-Nov-13,Texas Health Presbyterian Dallas Hospital,Dallas,Texas,STAT,MED,949,"The August 22 office theft of a computer resulted in the exposure of patient information.  Names, dates of birth, age, gender, radiology images, radiation therapy dose planning, diagnoses, and Texas Health Presbyterian medical record numbers were on the computer.",HHS via PHIPrivacy.net,,2013,32.776664,-96.796988
8-Nov-13,Sierra View District Hospital,Porterville,California,INSD,MED,"1,009",A routine security audit at Sierra View District Hospital revealed that an employee had inappropriately accessed protected health information.  An investigation revealed that the information was not disclosed externally.  The breach occurred between July 1 and August 2.  ,HHS via PHIPrivacy.net,,2013,36.06523,-119.016768
28-Nov-13,"Orange County Anaheim Medical Center, Kaiser Foundation Hospital",Anaheim,California,PORT,MED,0,"A flash drive that contained patient information was discovered missing on September 25, 2013.  It contained names, dates of birth, and medical record numbers.  ",PHIPrivacy.net,,2013,33.836593,-117.914301
27-Nov-13,University of Pittsburgh Medical Center,Pittsburgh,Pennsylvania,INSD,MED,"1,300","An employee was found to have accessed patient records without legitimate cause.  The employee worked in a unit coordinator position for about a year and her supervisor was aware of the issue.  Patient names, Social Security numbers, medical records, dates of birth, contact information, treatment information, and diagnosis information were accessed.  The employee was fired.",Media,,2013,40.440625,-79.995886
22-Nov-13,Redwood Memorial Hospital,Fortuna,California,PORT,MED,"1,039","An unencrypted flash drive from Redwood Memorial Hospital's Cardiopumlonary Services Department was discovered missing on November 8.  The flash drive had been missing since at least November 6 and contained patient names, report ID numbers, test indications, ages, heights, weights, test recording and analysis dates and times, facility and address where services were rendered, and clinical summaries of test findings.  Some patients who were seen at Redwood Memorial Hospital between 2001 and 2013 may have had their information exposed.  ",Media,,2013,40.598187,-124.157276
6-Dec-13,Houston Methodist Hospital,Houston,Texas,PORT,MED,"1,300","The December 5 theft of an encrypted laptop and files resulted in the exposure of transplant patient information.  Names, Social Security numbers, and dates of birth may have been exposed.",Media,,2013,29.760427,-95.369803
25-Dec-13,Inspira Medical Center Vineland,Vineland,New Jersey,STAT,MED,0,The December 23 theft of a computer from the radiology department of Inspira Medical Center Vineland may have resulted in the exposure of patient information.  The computer was kept in an unsecured filing room.,PHIPrivacy.net,,2013,39.486377,-75.025964
15-Nov-13,Hospital for Special Surgery,New York,New York,INSD,MED,537,"A March 19 breach may have resulted in the exposure of patient information.  The breach may have involved the theft of computer equipment, the unauthorized access of information on a computer, and/or paper records.UPDATE (12/20/2013): A dishonest employee accessed names, Social Security numbers, addresses, dates of birth, driver's license numbers, passport numbers, physician names, diagnosis information, medical billing codes, bank account and routing numbers, and payment party names and payment information.  Hospital for Special Surgery learned of the breach on May 31 and the dishonest employee was arrested in August.",HHS via PHIPrivacy.net,,2013,40.712784,-74.005941
